분류1,분류2,분류3,분류4,분류5,프로세스 설명,대분류,신청 방법,매월 말 지출 승인 요청서 신청 방법 : 개인 법인카드를 한 번이라도 사용한 이력이 있으면 작성,예시
임직원,비용 지출,일반 구매,100만원 미만,개인 법인카드(우선순위),"100만원 미만 일반 구매는 팀 리더 구두 승인 후 개인 법인카드로 결제하고 월말에 지출 승인 요청서만 작성하면 됩니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : 지출품의서 생략 → 개인 법인카드 결제 → 월말 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a>
• 예시 : 문구류, 소모성 부품 등
• 상품 수입 시 : <a href='https://www.notion.so/radexelworks/244bb6cb7fe180429c91d68b63f8bf68' target='_blank'>법인 통관 고유 번호 - 라덱셀**1191018</a> 

<br>  <br> <b><개인 법인카드 사용 시 참고사항></b>
• 개인 법인카드를 월 1회 이상 사용한 경우, 매월 말에 지출건을 모아 지출 승인 요청서를 작성합니다.
• 개인 법인카드로 잘못 결제했을 경우, 오사용 금액은 회사 계좌로 환수되어야 합니다. 자금 담당자에게 즉시 알려주시기 바랍니다.
• 지출 승인 요청서는 승인되지 않은 전체 내역을 한 번에 선택하여 기안합니다. 월별로 나누어 기안할 필요는 없습니다.<br>
&nbsp;&nbsp;&nbsp;예 : 4월 결제 건이 5월로 넘어온 경우 - 월별로 나누어 기안하지 않고, 모두 모아서 5월에 일괄 기안<br>
<br>
<b><법인카드 사용 시 주의사항></b><br>
다음의 항목은 세무 당국에서 특별히 확인하는 사항이므로 사용 시 특별히 주의해주시기 바랍니다. <br>
1. 상세거래내역(구매 품목, 수량, 단가, 금액 등)이 명시된 영수증이 필요한 경우<br>
   &nbsp;&nbsp;&nbsp✔️ 백화점/마트 <br>
   &nbsp;&nbsp;&nbsp;✔️ 고급술집/골프장 <br>
   &nbsp;&nbsp;&nbsp;✔️ 병의원, 약국 <br>
   &nbsp;&nbsp;&nbsp;✔️ 해외 출장 등 법인카드 사용이 제한되어 현금으로 지출한 경우 : 간이 영수증 수취 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 상세거래내역이 명시된 영수증을 사무실 별로 비치된 영수증 함에 넣어주시고 자금 담당자에게 말씀해주시기 바랍니다.<br>
2. 반드시 필요한 경우에만 사용하고, 전자 문서로 업무 경비임을 증명하는 증빙을 상세히 남겨야 하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 업무 시간 외 주말, 공휴일, 심야/새벽에 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 동일한 거래처에서 여러 차례 분할 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 현금화가 쉬운 사치성 물품(귀금속, 주류, 골프용품 등)을 구매하는 경우 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 특별히 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a> 시 사용목적과 증빙자료를 첨부해주시기 바랍니다.<br> ",팀장 승인 사항,,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"재료비, 공구류, 문구류, 가구 등"
임직원,비용 지출,일반 구매,100만원 미만,법인계좌이체(차선),"카드 결제가 불가한 100만원 미만 일반 구매는 지출품의서를 작성한 후 법인계좌이체로 결제해야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/menu/write' target='_blank'>사전 지출품의서 작성</a> → 세금계산서 발행요청 → 자금 담당자 계좌이체 후 댓글 알림
• 양식 : 라덱셀 양식> 지출품의서 – 일반
• 결재 라인 : 기안자 → 팀 리더 (전결 권한 위임자 : 부문리더, CEO)
• 증빙 : 금액이 명시된 견적서·계약서·청구서 등 첨부
• 수신 참조  : 경영기획팀, 업무관련자
• 예시 : 공구류, 소형 가구, 소모성 재료비 등
• 상품 수입 시 : <a href='https://www.notion.so/radexelworks/244bb6cb7fe180429c91d68b63f8bf68' target='_blank'>법인 통관 고유 번호 - 라덱셀**1191018</a> 

<br>  <br> <b><법인계좌이체 시 참고사항></b>
• 전자세금계산서 수령 후, 계좌이체가 진행됩니다. 반드시 거래처에 전자세금계산서 발행을 요청해주시기 바랍니다. (수령 이메일 주소 : fin@radexel.com)
• 계좌이체는 세금계산서가 확인된 건에 한해 매주 월/목 2회 진행됩니다.
• 긴급하게 이체해야 하는 경우에는 자금담당자에게 말씀해주시기 바랍니다. ",팀장 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,카드 사용이 불가할 시
임직원,비용 지출,일반 구매,100만원 이상,법인계좌이체,"100만원 이상 일반 구매는 지출품의서를 사전 작성하여 승인을 얻은 후 법인계좌이체로 결제해야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/menu/write' target='_blank'>사전 지출품의서 작성</a> → 최종 결재 획득 → 전자세금계산서 발행요청 → 자금 담당자 계좌이체 후 댓글 알림
• 양식 : 라덱셀 양식> 지출품의서 – 일반
• 결재 라인 : 기안자 → 팀 리더 → 부문리더 → CEO
• 증빙 : 금액이 명시된 견적서·계약서·청구서 등 첨부
• 수신 참조  : 경영기획팀, 업무관련자
• 예시 : 가구, PC, 재료비 등
• 상품 수입 시 : <a href='https://www.notion.so/radexelworks/244bb6cb7fe180429c91d68b63f8bf68' target='_blank'>법인 통관 고유 번호 - 라덱셀**1191018</a> 

<br>  <br> <b><법인계좌이체 시 참고사항></b>
• 전자세금계산서 수령 후, 계좌이체가 진행됩니다. 반드시 거래처에 전자세금계산서 발행을 요청해주시기 바랍니다. (수령 이메일 주소 : fin@radexel.com)
• 계좌이체는 매주 월/목 2회 진행됩니다.
• 긴급하게 이체해야 하는 경우에는 자금담당자에게 말씀해주시기 바랍니다. ",CEO 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"가구, PC, 재료비 등"
임직원,비용 지출,회의비/접대비,100만원 미만,개인 법인카드(우선순위),"100만원 미만 사내 회의비·사외 접대비는 팀 리더 구두 승인 후 개인 법인카드로 결제하고 월말에 지출 승인 요청서만 작성하면 됩니다. 구체적인 가이드는 아래를 참고하세요. <br>
• 진행 : 지출품의서 생략 → 개인 법인카드 결제 → 월말 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a>
• 증빙 : 월말 지출 승인 요청서에 동석인원·목적 명시
• 예시 : 야근 식사비, 팀 회식비, 협력업체 식사비

<br>  <br> <b><개인 법인카드 사용 시 참고사항></b>
• 개인 법인카드를 월 1회 이상 사용한 경우, 매월 말에 지출건을 모아 지출 승인 요청서를 작성합니다.
• 개인 법인카드로 잘못 결제했을 경우, 오사용 금액은 회사 계좌로 환수되어야 합니다. 자금 담당자에게 즉시 알려주시기 바랍니다.
• 지출 승인 요청서는 승인되지 않은 전체 내역을 한 번에 선택하여 기안합니다. 월별로 나누어 기안할 필요는 없습니다.<br>
&nbsp;&nbsp;&nbsp;예 : 4월 결제 건이 5월로 넘어온 경우 - 월별로 나누어 기안하지 않고, 모두 모아서 5월에 일괄 기안<br>
<br>
<b><법인카드 사용 시 주의사항></b><br>
다음의 항목은 세무 당국에서 특별히 확인하는 사항이므로 사용 시 특별히 주의해주시기 바랍니다. <br>
1. 상세거래내역(구매 품목, 수량, 단가, 금액 등)이 명시된 영수증이 필요한 경우<br>
   &nbsp;&nbsp;&nbsp;✔️ 백화점/마트 <br>
   &nbsp;&nbsp;&nbsp;✔️ 고급술집/골프장 <br>
   &nbsp;&nbsp;&nbsp;✔️ 병의원, 약국 <br>
   &nbsp;&nbsp;&nbsp;✔️ 해외 출장 등 법인카드 사용이 제한되어 현금으로 지출한 경우 : 간이 영수증 수취 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 상세거래내역이 명시된 영수증을 사무실 별로 비치된 영수증 함에 넣어주시고 자금 담당자에게 말씀해주시기 바랍니다.<br>
2. 반드시 필요한 경우에만 사용하고, 전자 문서로 업무 경비임을 증명하는 증빙을 상세히 남겨야 하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 업무 시간 외 주말, 공휴일, 심야/새벽에 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 동일한 거래처에서 여러 차례 분할 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 현금화가 쉬운 사치성 물품(귀금속, 주류, 골프용품 등)을 구매하는 경우 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 특별히 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a> 시 사용목적과 증빙자료를 첨부해주시기 바랍니다.<br> ",팀장 승인 사항,,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"팀 회식비, 야근 식사비, 협력업체 식사비"
임직원,비용 지출,회의비/접대비,100만원 미만,법인계좌이체(차선),"카드 결제가 어려운 100만원 미만 사내 회의비·사외 접대비는 지출품의서를 작성한 후 법인계좌이체로 결제해야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : 지출품의서 작성 (사후 작성 가능)  → 전자세금계산서 발행요청 → 자금 담당자 계좌이체 후 댓글 알림
• 양식 : 라덱셀 양식> 지출품의서 – 사내 회의비/접대비
• 결재 라인 : 기안자 → 팀 리더 (전결 권한 위임자 : 부문리더, CEO)
• 증빙 : 동석인원, 목적 명시
• 수신 참조  : 업무관련자, 경영기획
• 예시 : 야근 식사비(카드 한도 초과 시)


<br>  <br> <b><법인계좌이체 시 참고사항></b>
• 전자세금계산서 수령 후, 계좌이체가 진행됩니다. 반드시 거래처에 전자세금계산서 발행을 요청해주시기 바랍니다. (수령 이메일 주소 : fin@radexel.com)
• 계좌이체는 매주 월/목 2회 진행됩니다.
• 긴급하게 이체해야 하는 경우에는 자금담당자에게 말씀해주시기 바랍니다. ",팀장 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,카드 사용이 불가할 시
임직원,비용 지출,회의비/접대비,100만원 이상,개인 법인카드(우선순위),"100만원 이상 사내 회의비·사외 접대비는 지출품의서를 사전 작성하여 승인을 얻은 후 개인 법인카드로 결제하면 됩니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/menu/write' target='_blank'>사전 지출품의서 작성</a> → 최종 결재 획득 → 개인 법인카드 결제
• 양식 : 라덱셀 양식> 지출품의서 – 사내 회의비/접대비
• 결재 라인 : 기안자 → 팀 리더 → 부문리더 → CEO
• 증빙 : 동석인원, 목적 명시, 업무 상 지출임을 명료하게 입증
• 수신 참조  : 경영기획팀, 업무관련자
• 예시 : 외부 고급 접대비

<br>  <br> <b><개인 법인카드 사용 시 참고사항></b>
• 개인 법인카드를 월 1회 이상 사용한 경우, 매월 말에 지출건을 모아 지출 승인 요청서를 작성합니다.
• 개인 법인카드로 잘못 결제했을 경우, 오사용 금액은 회사 계좌로 환수되어야 합니다. 자금 담당자에게 즉시 알려주시기 바랍니다.
• 지출 승인 요청서는 승인되지 않은 전체 내역을 한 번에 선택하여 기안합니다. 월별로 나누어 기안할 필요는 없습니다.<br>
&nbsp;&nbsp;&nbsp;예 : 4월 결제 건이 5월로 넘어온 경우 - 월별로 나누어 기안하지 않고, 모두 모아서 5월에 일괄 기안<br>
<br>
<b><법인카드 사용 시 주의사항></b><br>
다음의 항목은 세무 당국에서 특별히 확인하는 사항이므로 사용 시 특별히 주의해주시기 바랍니다. <br>
1. 상세거래내역(구매 품목, 수량, 단가, 금액 등)이 명시된 영수증이 필요한 경우<br>
   &nbsp;&nbsp;&nbsp;✔️ 백화점/마트 <br>
   &nbsp;&nbsp;&nbsp;✔️ 고급술집/골프장 <br>
   &nbsp;&nbsp;&nbsp;✔️ 병의원, 약국 <br>
   &nbsp;&nbsp;&nbsp;✔️ 해외 출장 등 법인카드 사용이 제한되어 현금으로 지출한 경우 : 간이 영수증 수취 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 상세거래내역이 명시된 영수증을 사무실 별로 비치된 영수증 함에 넣어주시고 자금 담당자에게 말씀해주시기 바랍니다.<br>
2. 반드시 필요한 경우에만 사용하고, 전자 문서로 업무 경비임을 증명하는 증빙을 상세히 남겨야 하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 업무 시간 외 주말, 공휴일, 심야/새벽에 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 동일한 거래처에서 여러 차례 분할 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 현금화가 쉬운 사치성 물품(귀금속, 주류, 골프용품 등)을 구매하는 경우 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 특별히 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a> 시 사용목적과 증빙자료를 첨부해주시기 바랍니다.<br> ",CEO 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,외부 고급 접대비
임직원,비용 지출,회의비/접대비,100만원 이상,법인계좌이체(차선),"100만원 이상 사내 회의비·사외 접대비는 법인계좌이체로 결제하기 전에 지출품의서를 사전 작성해야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/menu/write' target='_blank'>사전 지출품의서 작성</a> → 최종 결재 획득 → 전자세금계산서 발행요청 → 자금 담당자 계좌이체 후 댓글 알림
• 양식 : 라덱셀 양식> 지출품의서 – 사내 회의비/접대비
• 결재 라인 : 기안자 → 팀 리더 → 부문리더 → CEO
• 증빙 : 동석인원, 목적 명시, 업무 상 지출임을 명료하게 입증
• 수신 참조  : 경영기획팀, 업무관련자
• 예시 : 외부 고급 접대비

<br>  <br> <b><법인계좌이체 시 참고사항></b>
• 전자세금계산서 수령 후, 계좌이체가 진행됩니다. 반드시 거래처에 전자세금계산서 발행을 요청해주시기 바랍니다. (수령 이메일 주소 : fin@radexel.com)
• 계좌이체는 매주 월/목 2회 진행됩니다.
• 긴급하게 이체해야 하는 경우에는 자금담당자에게 말씀해주시기 바랍니다. ",CEO 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,카드 사용이 불가할 시
임직원,비용 지출,외주용역·자문료,100만원 미만,개인 법인카드(우선순위),"카드 결제가 가능한 100만원 미만 외주용역·자문료는 팀장 구두 승인을 득한 후 개인 법인카드로 결제하고 월말에 지출 승인 요청서만 작성하면 됩니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : 지출품의서 생략 → 개인 법인카드 결제 → 월말 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a>
• 증빙 : 금액이 명시된 견적서·계약서·청구서 등 첨부
• 예시 : 단기 외부 컨설턴트 자문료

<br>  <br> <b><개인 법인카드 사용 시 참고사항></b>
• 개인 법인카드를 월 1회 이상 사용한 경우, 매월 말에 지출건을 모아 지출 승인 요청서를 작성합니다.
• 개인 법인카드로 잘못 결제했을 경우, 오사용 금액은 회사 계좌로 환수되어야 합니다. 자금 담당자에게 즉시 알려주시기 바랍니다.
• 지출 승인 요청서는 승인되지 않은 전체 내역을 한 번에 선택하여 기안합니다. 월별로 나누어 기안할 필요는 없습니다.<br>
&nbsp;&nbsp;&nbsp;예 : 4월 결제 건이 5월로 넘어온 경우 - 월별로 나누어 기안하지 않고, 모두 모아서 5월에 일괄 기안<br>
<br>
<b><법인카드 사용 시 주의사항></b><br>
다음의 항목은 세무 당국에서 특별히 확인하는 사항이므로 사용 시 특별히 주의해주시기 바랍니다. <br>
1. 상세거래내역(구매 품목, 수량, 단가, 금액 등)이 명시된 영수증이 필요한 경우<br>
   &nbsp;&nbsp;&nbsp;✔️ 백화점/마트 <br>
   &nbsp;&nbsp;&nbsp;✔️ 고급술집/골프장 <br>
   &nbsp;&nbsp;&nbsp;✔️ 병의원, 약국 <br>
   &nbsp;&nbsp;&nbsp;✔️ 해외 출장 등 법인카드 사용이 제한되어 현금으로 지출한 경우 : 간이 영수증 수취 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 상세거래내역이 명시된 영수증을 사무실 별로 비치된 영수증 함에 넣어주시고 자금 담당자에게 말씀해주시기 바랍니다.<br>
2. 반드시 필요한 경우에만 사용하고, 전자 문서로 업무 경비임을 증명하는 증빙을 상세히 남겨야 하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 업무 시간 외 주말, 공휴일, 심야/새벽에 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 동일한 거래처에서 여러 차례 분할 사용하는 경우 <br>
   &nbsp;&nbsp;&nbsp;✔️ 현금화가 쉬운 사치성 물품(귀금속, 주류, 골프용품 등)을 구매하는 경우 <br>
   &nbsp;&nbsp;&nbsp;위 항목들은 특별히 <a href='https://www.wehago.com/expense/#/cardstatement' target='_blank'>지출 승인 요청서 작성</a> 시 사용목적과 증빙자료를 첨부해주시기 바랍니다.<br> ",팀장 승인 사항,,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,"외부 컨설턴트 자문, 외주용역 계약"
임직원,비용 지출,외주용역·자문료,100만원 미만,법인계좌이체(차선),"100만원 미만 외주용역·자문료는 지출품의서를 작성하여 승인을 득한 후 법인계좌이체로 결제해야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/menu/write' target='_blank'>사전 지출품의서 작성</a> → 전자세금계산서 발행요청 → 자금 담당자 계좌이체 후 댓글 알림
• 양식 : 라덱셀 양식> 지출품의서 – 외주용역/자문
• 결재 라인 : 기안자 → 팀 리더 (전결 권한 위임자 : 부문리더, CEO)
• 증빙 : 금액이 명시된 견적서·계약서·청구서 등 첨부
• 수신 참조  : 업무관련자, 경영기획팀
• 예시 : 단기 외주 용역 비용

<br>  <br> <b><법인계좌이체 시 참고사항></b>
• 전자세금계산서 수령 후, 계좌이체가 진행됩니다. 반드시 거래처에 전자세금계산서 발행을 요청해주시기 바랍니다. (수령 이메일 주소 : fin@radexel.com)
• 계좌이체는 매주 월/목 2회 진행됩니다.
• 긴급하게 이체해야 하는 경우에는 자금담당자에게 말씀해주시기 바랍니다. ",팀장 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,단기 외주 용역 비용(카드 사용이 불가할 시)
임직원,비용 지출,외주용역·자문료,100만원 이상,법인계좌이체,"100만원 이상의 외주용역·자문료는 지출품의서를 작성하여 승인을 득한 후 법인계좌이체로 결제해야 합니다. 구체적인 가이드는 아래를 참고하세요.
• 진행 : <a href='https://www.wehago.com/#/eapprovals/menu/write' target='_blank'>사전 지출품의서 작성</a> → 최종 결재 획득 → 전자세금계산서 발행요청 → 자금 담당자 계좌이체 후 댓글 알림
• 양식 : 라덱셀 양식> 지출품의서 – 외주용역/자문
• 결재 라인 : 기안자 → 팀 리더 → 부문리더 → CEO
• 증빙 : 금액이 명시된 견적서·계약서·청구서 등 첨부
• 수신 참조  : 업무관련자, 경영기획팀
• 예시 : 장기 컨설팅 계약비

<br>  <br> <b><법인계좌이체 시 참고사항></b>
• 전자세금계산서 수령 후, 계좌이체가 진행됩니다. 반드시 거래처에 전자세금계산서 발행을 요청해주시기 바랍니다. (수령 이메일 주소 : fin@radexel.com)
• 계좌이체는 매주 월/목 2회 진행됩니다.
• 긴급하게 이체해야 하는 경우에는 자금담당자에게 말씀해주시기 바랍니다. ",CEO 승인 사항,https://app.supademo.com/embed/cm918m28p1rigeyp0ni07t0et?embed_v=2,https://app.supademo.com/embed/cm8woiw0c0sybdmompggdzkmh?embed_v=2,장기 컨설팅 계약비
